N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0,0.7,rapi,yint,0.963,0.8107658485043939,-0.08726296606405826,0.13171077414706153,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,tspa,yint,0.9395,0.2592823276726661,-0.09346487625466704,0.09221511866067639,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,upi,yint,0.7555000000000001,0.5615394652858952,-0.48370803296099496,-0.03702200335123243,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.8,rapi,yint,0.9485,0.172331626872432,-0.09380665527143606,0.18923874950601088,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,tspa,yint,0.942,0.1462102119592007,-0.05695318592666454,0.030128111000030003,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,upi,yint,0.8545,0.20003297445939175,-0.22605760259836472,-0.09974864691561867,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.9,rapi,yint,0.944,0.12518043865545853,-0.05258107648280852,0.09506410810646236,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,tspa,yint,0.9425,0.11947008492916135,-0.050983513290377314,-4.569766828034325e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,upi,yint,0.911,0.12790012135792445,-0.10711873934964145,-0.12959727596691625,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0.3,0.7,rapi,yint,0.966,0.5412021017247084,-0.23128888149221027,0.17299921533688217,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
