N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,raw_bias,raw_rse_bias,rmse,robust_rse_bias,std_bias,stdMed_bias,trimm_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0,0.7,rapi,yint,1,0.864,0.019613974931702728,5.161118774135444,0.633352406061531,0.341084718998957,0.030975615513417064,-0.17202450907973593,-0.027275816952841203,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,tspa,yint,1,0.948,0.0216886551669376,-0.19317709273792205,0.278363184237881,0.3993517492239045,0.0781329981262152,-0.033856856287855105,-0.0010932036533589096,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,upi,yint,1,0.972,0.07162007739178243,0.09690905179767295,0.5208659955998707,0.6601675325843137,0.13878580287621442,0.11416899622399732,0.031126113005092826,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.8,rapi,yint,1,0.922,0.021322833113039053,-0.1736945031977951,0.25774086529096407,0.384499215173959,0.0829935487601587,-0.04778620309547959,-0.003048989575893335,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,tspa,yint,1,0.9535,0.003729807504151551,-0.05638029596902161,0.1488628086760472,0.42330470951875543,0.025056936368206075,-0.02319793255700753,-0.0025234937606079533,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,upi,yint,1,0.969,0.02316631831688596,0.05744624531821518,0.16442957994039423,0.550785984069363,0.14227288388202952,0.07672070020495676,0.014402792208754456,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.9,rapi,yint,1,0.9465,-5.898388126063884e-4,-0.03844061332031512,0.12754440003746156,0.43672105234662917,-0.00462346947550619,-0.050191822507160914,-0.005064351038845838,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,tspa,yint,1,0.9485,-0.003946596774509261,-0.020985501838685194,0.11591946207798695,0.44976959092017355,-0.03405725545977179,-0.04859663966910642,-0.005285238810960768,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,upi,yint,1,0.9625,0.0031803388613570647,0.029064226298211704,0.1185454191259276,0.5360661669545939,0.02683096947408892,0.0026531276851256384,0.0011652306751835373,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0.3,0.7,rapi,yint,1,0.8805000000000001,0.043775475761799396,1.6304641526096613,0.45077573974351254,0.28139130133460477,0.09754820712894681,-0.051207236459442106,-0.006564165049438853,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,tspa,yint,1,0.951,0.03833723525944682,0.19659656997171693,0.35345003533530983,0.44566569542006373,0.10908222956966357,0.027229088472685223,0.008383500585372627,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,upi,yint,1,0.971,0.07911562579006307,0.15764580768822234,0.31528448809743453,0.6824033013276403,0.259163497503148,0.20010153856748034,0.04038831770308471,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
