N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0,0.7,rapi,yint,0.968,0.970966877165417,-0.060392913124585834,0.14636465505348925,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,tspa,yint,0.9455,0.22550093530174695,-0.11858163920722442,0.16176748781129086,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,upi,yint,0.895,0.9714366009620968,-0.06448159716232571,0.14685050946994968,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.8,rapi,yint,0.955,0.1645199280235186,-0.051450460355293104,0.20773269013022044,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,tspa,yint,0.9495,0.14521108775963626,-0.04507114196378037,0.04658212732670917,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,upi,yint,0.919,0.3134918706210193,-0.30778111191814306,0.11169030389340119,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.9,rapi,yint,0.9455,0.12367194726168732,-0.04104645525989303,0.10413267280018551,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,tspa,yint,0.944,0.11745506501099175,-0.03400189247145324,0.008466769761476365,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,upi,yint,0.9425,0.12880886811526399,-0.050604836438290834,0.03272288933873183,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0.3,0.7,rapi,yint,0.9655,0.7119693737781662,-0.031359377031931146,0.1597730532478859,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,tspa,yint,0.948,0.3106567646438595,-0.18599185654033779,0.09324593578885901,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,upi,yint,0.895,0.8304831217893095,-0.10627108801564211,0.14193787238668537,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.8,rapi,yint,0.956,0.15406500754572278,-0.04602845644263154,0.2706669245378719,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,tspa,yint,0.95,0.1356171667718275,-0.04092182874843353,0.11632968998472372,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,upi,yint,0.9319999999999999,0.24272874932729452,-0.22168475147467803,0.1407945318685006,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.9,rapi,yint,0.947,0.11473168797746737,-0.0352013226055804,0.09212043196227701,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,tspa,yint,0.943,0.10994038091701881,-0.03318542987533901,0.002564221110872795,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,upi,yint,0.938,0.12198522923864114,-0.056152179141260694,0.02044273471445851,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.6,0.7,rapi,yint,0.964,0.30536417188046827,-0.1659973500672448,0.24434524590997012,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,tspa,yint,0.9455,0.19287145960932284,-0.07667266968267461,0.1540162087799283,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,upi,yint,0.905,0.5906373987311485,16.2131038932081,0.17632103563281953,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.8,rapi,yint,0.9495,0.13709125412905665,-0.08610794628194152,0.22472134706338687,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,yint,0.946,0.12164873542511756,-0.06303963822660075,0.09607706223209705,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
