N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0,0.7,rapi,yint,0.9725,1.3620663902267203,0.7707793367443934,0.12371494612693422,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,tspa,yint,0.9495,0.49217265843701813,-0.3620600783057665,0.08061170742283755,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,upi,yint,0.88,0.3655504873382666,1.9132666132075542,0.09893205045908708,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.8,rapi,yint,0.9515,0.20432828661849123,-0.167250199371195,0.20736468495667637,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,tspa,yint,0.945,0.1556565868640562,-0.09055654494706222,0.07401210097624535,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,upi,yint,0.9225,0.23471393144675592,-0.17875839824482398,0.12708967163608872,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.9,rapi,yint,0.947,0.11993901938040834,-0.010911354855899558,0.06783973253440682,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,tspa,yint,0.9465,0.11500941365953361,-0.01038654708345621,-0.031105889637616308,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,upi,yint,0.943,0.12750069348327286,-0.03743390991833262,0.003842528957192712,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0.3,0.7,rapi,yint,0.9675,0.4352786300243785,0.18866518492775608,0.2693698978605133,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,tspa,yint,0.95,0.23598065549041924,-0.15351937168853702,0.13917139996117506,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,upi,yint,0.8835,0.4144138797663301,1.4989463403495606,0.09836176252843017,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.8,rapi,yint,0.954,0.1578697404809181,-0.0841950576233057,0.17648614030183185,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,tspa,yint,0.949,0.1387061615636164,-0.06973364278758565,0.016942366143003523,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,upi,yint,0.922,0.2568037353766761,0.3133881298972683,0.0702505247107579,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.9,rapi,yint,0.9555,0.11193428227919736,-0.022270050321488877,0.057532564103405466,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
