true_rel,no_adj_rel,adj_rel,quadratic,no_adj_rel_bc,adj_rel_bc,quadratic_bc
0.8891661,0.8958675,0.8873425,0.8843109,0.8887076,0.8807789,0.8777754
0.8850778,0.8975745,0.8897891,0.8870416,0.8908265,0.8833862,0.8805711
0.8102733,0.8180537,0.8081488,0.8010512,0.8091782,0.7996733,0.7928099
0.8971289,0.8820269,0.8754977,0.8727456,0.8779972,0.8718027,0.8691406
0.8483109,0.8337704,0.8253963,0.8200919,0.8257394,0.8176666,0.81244
0.8470474,0.8321712,0.822324,0.8160344,0.8227796,0.8132257,0.8069889
0.8855424,0.8960119,0.8897277,0.8874294,0.8900501,0.884232,0.8819737
0.8512698,0.9275291,0.9137591,0.9103215,0.9131433,0.9000462,0.8962405
0.9003909,0.8851556,0.8772205,0.8740408,0.8780329,0.8705907,0.8674183
0.7953358,0.943269,0.9305996,0.9281156,0.9263894,0.9142117,0.9111748
0.8837221,0.8665988,0.8589782,0.855316,0.8590077,0.851726,0.8480865
0.8512307,0.8731148,0.8666773,0.8637195,0.8698506,0.8638916,0.8611579
0.8725888,0.8921224,0.8857178,0.8832811,0.8868765,0.8808906,0.8785221
0.8680715,0.8687188,0.8613572,0.8578839,0.8611053,0.8541719,0.8507286
0.8685595,0.8581094,0.8505653,0.8466504,0.8525619,0.845434,0.8416827
0.8416691,0.8479419,0.8396129,0.8349238,0.8405105,0.8324742,0.8278865
0.8533879,1.034375,1.0237843,1.0244192,1.0272867,1.0176931,1.017807
0.8708733,0.8947447,0.8889815,0.8868151,0.8894037,0.8841146,0.8820171
0.8944401,0.8854911,0.8799527,0.8776462,0.8836082,0.8784389,0.8762875
0.8569726,0.8594055,0.8522036,0.8484981,0.854075,0.8473,0.8437762
0.9131642,0.893705,0.8885273,0.8865263,0.8891452,0.8843545,0.8824132
0.8865221,0.8991042,0.8913939,0.8887082,0.890948,0.8836826,0.8809098
0.8744765,0.8919154,0.8850497,0.8824489,0.8876567,0.8811899,0.8786593
0.8780598,0.864068,0.8566244,0.8529604,0.8604758,0.8534367,0.8499845
0.875394,0.8846095,0.8777981,0.8750143,0.8796701,0.8733579,0.87067
0.8552648,0.9206361,0.9101408,0.9073604,0.9099199,0.9001231,0.8971565
0.8521204,0.8708393,0.8640039,0.8608129,0.8648466,0.8585563,0.8555085
0.8994913,0.9188722,0.9139873,0.9125635,0.9139351,0.9095443,0.9081516
0.8828621,0.913703,0.901056,0.8973236,0.9092879,0.8972077,0.8935862
0.907358,0.8678706,0.860585,0.8571169,0.8632322,0.8563562,0.8530734
0.9043558,0.8682976,0.8616552,0.8584737,0.8607464,0.854374,0.8511644
0.9049158,0.9043098,0.8980502,0.8959501,0.8994904,0.8937286,0.8916857
0.8232673,0.8426507,0.8345783,0.8298207,0.8381015,0.8303707,0.8258636
0.9112443,0.9257275,0.9182596,0.9163726,0.9198878,0.9128559,0.9109142
0.8938815,0.8936415,0.8864482,0.883786,0.8876269,0.880861,0.8782275
0.8800983,0.8828423,0.8753967,0.8723288,0.8743423,0.8673771,0.8642753
0.8403464,0.8569296,0.8502829,0.8467617,0.8523356,0.8460546,0.842698
0.8534925,0.8944048,0.8881535,0.8858188,0.8866068,0.8807559,0.8783844
0.8880217,0.9290894,0.9204,0.9183195,0.922121,0.9140019,0.9118131
0.9092874,0.8966553,0.8903628,0.8880749,0.8909935,0.8851256,0.8828798
0.8861495,0.9073518,0.8995458,0.8970915,0.9010364,0.8935763,0.8910717
0.8748778,0.8862748,0.8810108,0.878821,0.8830729,0.8782002,0.8761452
0.8942056,0.910006,0.9043381,0.9025342,0.9060082,0.9008801,0.8991249
0.8418668,0.8365438,0.824,0.8162013,0.8272792,0.8153701,0.807788
0.7794986,1.0379411,1.015525,1.0163623,1.0071744,0.9862842,0.9863837
0.8114056,0.9939488,0.9810666,0.9804321,0.9817334,0.9697708,0.9686983
0.8778935,0.8458214,0.8370297,0.8319947,0.8384927,0.8302078,0.8253544
0.8682229,0.9740561,0.9643328,0.9633746,0.9638574,0.9549041,0.953595
0.8939973,0.8978226,0.8925511,0.890609,0.893617,0.8887622,0.8869032
0.9118973,0.8933351,0.8862046,0.8835565,0.8877112,0.8809034,0.8782543
0.9021847,0.870016,0.861484,0.8575291,0.8609122,0.8529653,0.849049
0.8746994,0.9232537,0.9126491,0.9098883,0.9130786,0.9031283,0.9002097
0.7844494,1.0025557,0.986415,0.985861,0.9921319,0.9769537,0.9761193
0.8649865,0.8374471,0.826816,0.8203058,0.8286973,0.8185171,0.8121612
0.8735305,0.8864009,0.8792792,0.8764331,0.8816527,0.8749462,0.8721965
0.841148,0.9626877,0.9476455,0.9455152,0.9542446,0.9396674,0.9374052
0.8529372,0.8424611,0.8339639,0.828962,0.838163,0.8301459,0.8254996
0.9130338,0.922521,0.916401,0.9147646,0.9165182,0.9109328,0.9092676
0.8761578,0.9107887,0.9051456,0.9033766,0.904953,0.8996215,0.8978364
0.9063643,0.9053686,0.9004027,0.8987026,0.9013305,0.8967202,0.8950701
0.844203,0.9756785,0.9621694,0.9607959,0.9609649,0.9483428,0.9464617
0.8754429,0.8595258,0.852946,0.8495338,0.8532333,0.8470183,0.8437051
0.8312413,0.8684731,0.8590554,0.8546317,0.8607869,0.8519436,0.8476574
0.8896707,0.8838267,0.8774067,0.8747429,0.8781609,0.872129,0.8695006
0.8658831,0.8775034,0.8702383,0.8670834,0.8711481,0.864292,0.8612069
0.8750562,0.8913377,0.8846516,0.8821016,0.8853542,0.8790731,0.8765549
0.8995226,0.8659252,0.8585626,0.8549874,0.8598991,0.8530427,0.8496113
0.8883142,0.8784625,0.8730933,0.8706893,0.8763088,0.8713018,0.8690753
0.8723646,0.864935,0.8582879,0.8550081,0.8604327,0.8542404,0.8511437
0.8757024,0.9554963,0.9446894,0.9430054,0.9423161,0.9325189,0.9304319
0.888201,0.8621729,0.854256,0.8503075,0.85782,0.8505255,0.8468931
0.8517691,0.8746638,0.867585,0.8644161,0.8683203,0.8614908,0.8583148
0.8355014,0.9551757,0.9452967,0.9437618,0.946379,0.9373055,0.9355401
0.8694941,0.8927074,0.8852377,0.8824402,0.8861562,0.8791552,0.8763378
0.8457313,0.8801268,0.869371,0.8648305,0.8676828,0.8574068,0.8526786
0.8653712,0.8602876,0.8524031,0.8483942,0.8537058,0.8463505,0.842538
0.8931224,0.9129114,0.9064745,0.9045319,0.9075548,0.901546,0.8995793
0.8555967,0.9284071,0.9200147,0.9179819,0.9218923,0.9140897,0.9119428
0.8814054,0.8775883,0.8694081,0.8658726,0.8701113,0.8625343,0.8590549
0.9055182,0.8647152,0.8561009,0.8519176,0.858174,0.8500856,0.8460391
0.8506725,0.8782523,0.8669444,0.8620728,0.8680452,0.8573307,0.8524846
0.843075,0.8447913,0.8374018,0.8330924,0.8397775,0.8328464,0.8287836
0.8719232,0.9060607,0.892892,0.8886242,0.8893897,0.8769199,0.872177
0.7968766,0.9182721,0.9079738,0.9051146,0.9060892,0.8964591,0.8933519
0.8927341,0.8497461,0.8400686,0.8347161,0.8450753,0.8359544,0.8309586
0.8882544,0.9380713,0.9317552,0.9304073,0.9320651,0.926293,0.9248479
0.9250067,0.8896275,0.8843587,0.8822393,0.8864098,0.8815093,0.8794923
0.8408064,0.9662016,0.9527136,0.9509831,0.9547003,0.942141,0.9401027
0.8609884,0.8119918,0.7987675,0.7886955,0.7976535,0.7846313,0.7744416
0.8707131,0.8834273,0.8757316,0.8725956,0.8777402,0.8704712,0.8673841
0.8333641,0.9245405,0.9142838,0.911672,0.915399,0.9057873,0.9030599
0.884716,0.8920506,0.8873239,0.885431,0.8896771,0.8853122,0.8835401
0.8571797,0.8750503,0.8670479,0.8634918,0.8694327,0.8618851,0.8583954
0.8276461,0.8531879,0.8433611,0.8380948,0.8465436,0.837084,0.8319426
0.8382509,0.9026978,0.8969626,0.8949807,0.8991279,0.8938532,0.8919576
0.8766487,0.9039224,0.8963214,0.8938136,0.8965555,0.8894818,0.8869381
0.8232433,0.8710892,0.8649612,0.8620765,0.8658326,0.860078,0.8573064
0.9027146,0.8816094,0.875277,0.8725886,0.8770804,0.8711963,0.8686227
0.8732493,0.8699981,0.8606503,0.8563394,0.8629508,0.8540976,0.8498761
0.8425868,0.8811498,0.871122,0.8669438,0.8692036,0.8596916,0.8553064
0.9012544,0.8896303,0.8825557,0.8798202,0.8838066,0.877258,0.8745866
0.9066063,0.8953589,0.8893624,0.8871329,0.8921765,0.8866801,0.8845704
0.8740283,0.9623539,0.950225,0.9485631,0.9531465,0.9417478,0.9398429
0.8221666,0.8331373,0.8234477,0.8172956,0.8268748,0.8176034,0.8117454
0.8896648,0.8686801,0.8578463,0.8527686,0.8605564,0.8502181,0.8452262
0.9103609,0.943758,0.9362967,0.9348728,0.9387963,0.9319803,0.9304991
0.8765617,0.8721747,0.8650479,0.8617795,0.868436,0.8618203,0.8587683
0.8708541,0.8753558,0.8678242,0.8644754,0.8689738,0.8618937,0.858617
0.8762699,0.9291881,0.9215733,0.9197486,0.921175,0.9140903,0.9121133
0.8886884,0.9359892,0.9236774,0.9209603,0.9280233,0.9164641,0.9136908
0.8246755,0.8843805,0.8770162,0.8740331,0.8786757,0.8717465,0.8688154
0.8993285,0.8599456,0.8527642,0.8490758,0.8552816,0.848454,0.8449004
0.9144753,0.9044654,0.8971084,0.8946934,0.8967013,0.8897839,0.8872788
0.88589,0.8677006,0.8598998,0.8561873,0.8618306,0.8545292,0.8509952
0.8746401,0.9292505,0.9188508,0.9163666,0.916789,0.9071992,0.9044034
0.8941751,0.89274,0.8833904,0.8799342,0.8833545,0.8744603,0.8708709
0.8753999,0.883846,0.8743447,0.8705158,0.8776111,0.8684784,0.8646611
0.8708222,0.8806643,0.8742732,0.8715439,0.8766062,0.8706255,0.8680325
0.8364025,0.8396754,0.8312072,0.8261029,0.8329263,0.8249674,0.8201168
0.8900639,0.8788379,0.8708837,0.86748,0.8718625,0.8643491,0.8609991
0.8456762,0.8684377,0.8613114,0.8579246,0.8625038,0.8558989,0.8526811
0.8677696,0.8742201,0.8666746,0.8632991,0.8679762,0.8609422,0.8576685
0.8934244,0.9182991,0.91061,0.9084725,0.9096564,0.9024574,0.9001694
